Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (10 categories),Observation
E09000029,Sutton,"8. Process, plant and machine operatives",5380
E09000029,Sutton,9. Elementary occupations,7527
E09000030,Tower Hamlets,Does not apply,154914
E09000030,Tower Hamlets,"1. Managers, directors and senior officials",20628
E09000030,Tower Hamlets,2. Professional occupations,49021
E09000030,Tower Hamlets,3. Associate professional and technical occupations,27819
E09000030,Tower Hamlets,4. Administrative and secretarial occupations,11184
E09000030,Tower Hamlets,5. Skilled trades occupations,7508
E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",9276
E09000030,Tower Hamlets,7. Sales and customer service occupations,10470
E09000030,Tower Hamlets,"8. Process, plant and machine operatives",6949
E09000030,Tower Hamlets,9. Elementary occupations,12537
E09000031,Waltham Forest,Does not apply,138054
E09000031,Waltham Forest,"1. Managers, directors and senior officials",17473
E09000031,Waltham Forest,2. Professional occupations,32185
E09000031,Waltham Forest,3. Associate professional and technical occupations,21194
E09000031,Waltham Forest,4. Administrative and secretarial occupations,11608
E09000031,Waltham Forest,5. Skilled trades occupations,14037
E09000031,Waltham Forest,"6. Caring, leisure and other service occupations",10474
E09000031,Waltham Forest,7. Sales and customer service occupations,9284
E09000031,Waltham Forest,"8. Process, plant and machine operatives",8341
E09000031,Waltham Forest,9. Elementary occupations,15776
E09000032,Wandsworth,Does not apply,137064
E09000032,Wandsworth,"1. Managers, directors and senior officials",35827
E09000032,Wandsworth,2. Professional occupations,61870
E09000032,Wandsworth,3. Associate professional and technical occupations,37329
E09000032,Wandsworth,4. Administrative and secretarial occupations,13285
E09000032,Wandsworth,5. Skilled trades occupations,7838
E09000032,Wandsworth,"6. Caring, leisure and other service occupations",11073
E09000032,Wandsworth,7. Sales and customer service occupations,8031
E09000032,Wandsworth,"8. Process, plant and machine operatives",5178
E09000032,Wandsworth,9. Elementary occupations,10011
E09000033,Westminster,Does not apply,102494
E09000033,Westminster,"1. Managers, directors and senior officials",22858
E09000033,Westminster,2. Professional occupations,31136
E09000033,Westminster,3. Associate professional and technical occupations,17588
E09000033,Westminster,4. Administrative and secretarial occupations,6750
E09000033,Westminster,5. Skilled trades occupations,3481
E09000033,Westminster,"6. Caring, leisure and other service occupations",6187
E09000033,Westminster,7. Sales and customer service occupations,5211
E09000033,Westminster,"8. Process, plant and machine operatives",2781
E09000033,Westminster,9. Elementary occupations,5750
